Player,Team,Age,Height (cm),Weight (kg),Stick
Andreas Johnsson,New Jersey,27,178,88,left
Ross Johnston,NY Islanders,28,196,104,left
Henri Jokiharju,Buffalo,22,183,88,right
Max Jones,Anaheim,24,190,97,left
Caleb Jones,Chicago,24,185,88,left
Martin Jones,Philadelphia,32,193,88,left
Seth Jones,Chicago,27,193,94,right
Mathieu Joseph,Ottawa,25,184,86,left
Dakota Joshua,St. Louis,25,188,90,left
Roman Josi,Nashville,31,187,90,left
Tyson Jost,Minnesota,24,180,85,left
Olli Juolevi,Detroit,23,188,84,left
Calle Järnkrok,Calgary,30,181,84,right
Nazem Kadri,Colorado,31,183,87,left
Kaapo Kakko,NY Rangers,21,189,93,left
Arthur Kaliyev,Los Angeles,20,188,86,left
Patrick Kane,Chicago,33,178,80,left
Evander Kane,Edmonton,30,188,96,left
Kasperi Kapanen,Pittsburgh,25,185,88,right
Kirill Kaprizov,Minnesota,25,178,91,left
William Karlsson,Vegas,29,184,86,left
Erik Karlsson,San Jose,31,183,87,right
Ondřej Kaše,Toronto,26,182,86,right
Zack Kassian,Edmonton,31,191,95,right
Boris Katchouk,Chicago,23,188,93,left
Duncan Keith,Edmonton,38,184,88,left
Clayton Keller,Arizona,23,178,77,left
Parker Kelly,Ottawa,22,183,89,left
Adrian Kempe,Los Angeles,25,188,88,left
Michal Kempný,Washington,31,183,88,left
Alexander Kerfoot,Toronto,27,178,82,left
Phil Kessel,Arizona,34,183,92,right
Jujhar Khaira,Chicago,27,193,96,left
Alex Killorn,Tampa Bay,32,185,88,left
Joel Kiviranta,Dallas,26,179,82,left
John Klingberg,Dallas,29,191,86,right
Spencer Knight,Florida,21,191,87,left
Nikolai Knyžov,San Jose,24,188,99,left
Keegan Kolesar,Vegas,25,188,98,right
Vladislav Koljatšonok,Arizona,20,186,88,left
Travis Konecny,Philadelphia,25,178,80,right
Anže Kopitar,Los Angeles,34,192,102,left
Joonas Korpisalo,Columbus,28,190,87,left
Jesperi Kotkaniemi,Carolina,21,188,90,left
Peyton Krebs,Buffalo,21,180,82,left
Chris Kreider,NY Rangers,31,191,102,left
Torey Krug,St. Louis,31,176,82,left
Dominik Kubalik,Chicago,26,187,81,left
Darcy Kuemper,Colorado,31,194,98,left
Karson Kuhlman,Seattle,26,179,84,right
Brett Kulak,Edmonton,28,188,86,left
Dmitri Kulikov,Minnesota,31,184,93,left
Luke Kunin,Nashville,24,181,91,right
Janne Kuokkanen,New Jersey,23,185,88,left
Rasmus Kupari,Los Angeles,22,186,86,right
Sean Kuraly,Columbus,29,188,96,left
Philipp Kurashev,Chicago,22,183,86,left
Nikita Kutšerov,Tampa Bay,28,181,81,left
Jevgeni Kuznetsov,Washington,29,186,92,left
Oliver Kylington,Calgary,24,183,84,left
Jordan Kyrou,St. Louis,23,183,85,right
Kaapo Kähkönen,San Jose,25,187,98,left
David Kämpf,Toronto,27,185,88,left
Kevin Labanc,San Jose,26,180,84,right
Andrew Ladd,Arizona,36,190,93,left
Sam Lafferty,Chicago,27,185,88,right
Alexis Lafrenière,NY Rangers,20,186,89,left
William Lagesson,Montreal,26,188,89,left
Patrik Laine,Columbus,24,194,98,right
Juho Lammikko,Vancouver,26,188,87,left
Gabriel Landeskog,Colorado,29,184,98,left
Kevin Lankinen,Chicago,27,188,84,left
Dylan Larkin,Detroit,25,185,89,left
Johan Larsson,Washington,29,182,92,left
Adam Larsson,Seattle,29,191,95,right
Scott Laughton,Philadelphia,27,184,86,left
Jérémy Lauzon,Nashville,25,188,93,left
Curtis Lazar,Boston,27,183,88,right
Nick Leddy,St. Louis,31,181,93,left
Anders Lee,NY Islanders,31,190,104,left
Artturi Lehkonen,Colorado,26,180,82,left
Robin Lehner,Vegas,30,193,113,left
Brendan Lemieux,Los Angeles,26,184,97,left
Otto Leskinen,Montreal,25,181,85,left
Kris Letang,Pittsburgh,35,183,91,right
Anton Levtchi,Florida,26,182,84,left
Trevor Lewis,Calgary,35,185,93,right
Timothy Liljegren,Toronto,23,183,87,right
Kole Lind,Seattle,23,185,81,right
